isotype	PC1	PC2	PC3	PC4	geo	Cluster
NIC1539	-0.0085	7e-04	8e-04	0.001	Taiwan	Global
NIC1540	-0.0019	-0.0424	-0.109	0.097	Taiwan	Taiwan
NIC1562	-0.0085	7e-04	7e-04	9e-04	Taiwan	Global
NIC1589	-0.0022	-0.0457	-0.1174	0.1097	Taiwan	Taiwan
NIC1590	-0.0084	4e-04	6e-04	9e-04	Taiwan	Global
NIC1591	-0.0022	-0.0445	-0.1131	0.1051	Taiwan	Taiwan
NIC1593	-0.0022	-0.0457	-0.1178	0.1098	Taiwan	Taiwan
NIC1595	-0.0084	7e-04	9e-04	8e-04	Taiwan	Global
NIC1598	-0.0084	5e-04	3e-04	0.0011	Taiwan	Global
NIC1602	-0.0083	4e-04	4e-04	0.0012	Taiwan	Global
NIC1607	-6e-04	-0.039	-0.0954	-0.0036	Taiwan	Mixed
NIC1628	-0.0109	0.0056	0.0125	-0.0014	Taiwan	Global
NIC1630	-0.0082	8e-04	5e-04	5e-04	Taiwan	Global
NIC1631	-0.0085	6e-04	8e-04	9e-04	Taiwan	Global
NIC1632	0.0036	-0.0331	-0.0819	-0.0147	Pacific	Mixed
NIC1633	0.0036	-0.0332	-0.0823	-0.0146	Pacific	Mixed
NIC1635	0.0036	-0.0333	-0.0824	-0.0146	Pacific	Mixed
NIC1645	-0.0085	5e-04	8e-04	0.001	Taiwan	Global
NIC1660	-0.0083	5e-04	6e-04	0.001	Taiwan	Global
NIC1661	-0.0085	5e-04	6e-04	0.0011	Taiwan	Global
NIC1662	-0.0083	6e-04	9e-04	8e-04	Taiwan	Global
NIC1663	-0.0085	5e-04	7e-04	0.0012	Taiwan	Global
NIC1664	-0.002	-0.0445	-0.1132	0.1053	Taiwan	Taiwan
NIC1665	-0.0019	-0.0445	-0.1141	0.1059	Taiwan	Taiwan
NIC1666	-0.0084	5e-04	5e-04	0.0011	Taiwan	Global
NIC1667	-0.0082	5e-04	3e-04	0.0011	Taiwan	Global
NIC1681	-0.0084	-3e-04	-9e-04	9e-04	Taiwan	Global
NIC1688	-0.0112	0.0059	0.0133	-0.0016	Taiwan	Global
NIC1692	-0.0085	4e-04	9e-04	9e-04	Taiwan	Global
NIC1693	-0.0083	6e-04	8e-04	9e-04	Taiwan	Global
NIC17	-0.011	0.0058	0.0129	-0.0016	Africa	Global
NIC174	0.0035	-0.0329	-0.0816	-0.0146	Cosmopolitan	Mixed
NIC187	-0.011	0.0058	0.0131	-0.0016	Caribbean	Global
NIC188	-0.011	0.0054	0.0123	-0.0016	Caribbean	Global
NIC19	-0.0017	-0.0421	-0.1067	0.0981	Taiwan	Taiwan
NIC191	-0.0112	0.006	0.0132	-0.0015	Caribbean	Global
NIC20	-0.0019	-0.0448	-0.1153	0.107	Taiwan	Taiwan
NIC21	-0.002	-0.0456	-0.1171	0.1087	Taiwan	Taiwan
NIC22	-0.0023	-0.0457	-0.1179	0.1095	Taiwan	Taiwan
NIC2369	-0.0111	0.0056	0.0125	-0.0016	South America	Global
NIC248	-0.0112	0.0058	0.0131	-0.0016	Caribbean	Global
NIC250	-0.0111	0.0056	0.0127	-0.0014	Caribbean	Global
NIC2527	-0.0111	0.0057	0.0128	-0.0015	Europe	Global
NIC309	-0.0113	0.0059	0.0137	-0.0015	South America	Global
NIC325	-0.0112	0.0059	0.0137	-0.0015	South America	Global
NIC327	-0.0114	0.0061	0.0143	-0.0016	South America	Global
NIC329	-0.0107	0.0054	0.0131	-0.0019	South America	Global
NIC330	-0.0114	0.0062	0.014	-0.0017	South America	Global
NIC331	-0.0112	0.0058	0.0134	-0.0015	South America	Global
NIC332	-0.0114	0.0063	0.0144	-0.0018	South America	Global
NIC333	-0.0107	0.0054	0.0133	-0.002	South America	Global
NIC343	-0.011	0.0057	0.0125	-0.0014	South America	Global
NIC392	-0.0112	0.006	0.0135	-0.0016	South America	Global
NIC400	-0.0113	0.0061	0.0143	-0.0017	South America	Global
NIC402	-0.0114	0.006	0.0141	-0.0016	South America	Global
NIC419	-0.0111	0.0057	0.0126	-0.0016	South America	Global
NIC504	-0.0085	4e-04	5e-04	0.0011	Taiwan	Global
NIC505	-0.0084	2e-04	4e-04	0.0011	Taiwan	Global
NIC518	-0.0085	6e-04	7e-04	0.0011	Taiwan	Global
NIC519	-0.0085	6e-04	8e-04	9e-04	Taiwan	Global
NIC532	-0.0111	0.0058	0.013	-0.0014	Caribbean	Global
NIC541	-0.0114	0.0062	0.0139	-0.0019	Caribbean	Global
NIC549	-0.0111	0.0057	0.0131	-0.0014	Caribbean	Global
NIC552	-0.0114	0.0061	0.0138	-0.0018	Caribbean	Global
NIC555	-0.0113	0.0058	0.0136	-0.0015	Caribbean	Global
NIC561	-0.0112	0.0058	0.0132	-0.0016	Caribbean	Global
NIC574	-0.0112	0.0059	0.0134	-0.0015	Caribbean	Global
NIC578	-0.0109	0.0056	0.0129	-0.0015	Caribbean	Global
NIC583	-0.0113	0.0058	0.0136	-0.0017	Caribbean	Global
NIC590	-0.011	0.0055	0.0128	-0.0017	Caribbean	Global
NIC593	-0.0112	0.0059	0.0134	-0.0015	Caribbean	Global
NIC60	-0.0112	0.006	0.0136	-0.0016	Cosmopolitan	Global
NIC61	-0.011	0.0057	0.0128	-0.0014	South America	Global
NIC62	-0.0113	0.0061	0.0136	-0.0017	South America	Global
NIC67	-0.0112	0.0057	0.0124	-0.0015	South America	Global
NIC758	-0.011	0.0056	0.0129	-0.0017	Caribbean	Global
NIC777	-0.011	0.0057	0.013	-0.0017	Caribbean	Global
NIC779	-0.0083	6e-04	5e-04	0.0011	Taiwan	Global
NIC790	-0.011	0.0057	0.0128	-0.0014	Taiwan	Global
NIC791	-0.0115	0.0064	0.0146	-0.0024	Taiwan	Global
NIC792	-0.0112	0.006	0.0135	-0.0019	Taiwan	Global
NIC793	-0.0109	0.0056	0.0124	-0.0014	Taiwan	Global
NIC795	-0.011	0.0057	0.0127	-0.0014	Taiwan	Global
NIC796	-0.0107	0.0051	0.0114	-5e-04	Taiwan	Global
NIC802	-0.011	0.0057	0.0126	-0.0014	Taiwan	Global
NIC803	-0.0111	0.0059	0.0131	-0.0014	Taiwan	Global
NIC805	-0.0084	1e-04	0	8e-04	Taiwan	Global
NIC811	-0.011	0.0056	0.0125	-0.0014	Taiwan	Global
NIC814	-0.0084	1e-04	0	5e-04	Taiwan	Global
NIC815	-0.0083	6e-04	7e-04	7e-04	Taiwan	Global
NIC816	-0.002	-0.045	-0.1155	0.1075	Taiwan	Taiwan
NIC819	-7e-04	-0.0357	-0.0847	-0.0046	Taiwan	Mixed
NIC821	-0.0113	0.0061	0.0139	-0.0017	Taiwan	Global
NIC822	-0.0084	5e-04	6e-04	6e-04	Taiwan	Global
NIC824	-0.0086	5e-04	8e-04	7e-04	Taiwan	Global
NIC825	-0.0017	-0.0448	-0.1133	0.1052	Taiwan	Taiwan
NIC827	-0.0019	-0.0433	-0.1115	0.1025	Taiwan	Taiwan
NIC828	-0.0019	-0.0451	-0.1152	0.1067	Taiwan	Taiwan
NIC863	-0.0084	6e-04	8e-04	8e-04	Taiwan	Global
NIC864	-0.0084	5e-04	2e-04	0.001	Taiwan	Global
NIC865	-0.0084	6e-04	7e-04	8e-04	Taiwan	Global
NIC871	-0.011	0.0057	0.0127	-0.0014	Taiwan	Global
NIC883	-0.0111	0.0059	0.0131	-0.0016	Taiwan	Global
NIC889	-0.0085	6e-04	5e-04	7e-04	Taiwan	Global
NIC893	0.0041	-0.031	-0.0669	-0.0412	Taiwan	Mixed
NIC897	-0.0082	2e-04	4e-04	0.0013	Taiwan	Global
NIC899	0.0036	-0.0334	-0.0826	-0.0145	Pacific	Mixed
NIC901	-0.011	0.0058	0.0129	-0.0017	Pacific	Global
NIC911	-0.0111	0.0057	0.013	-0.0015	South America	Global
NIC96	-0.0114	0.0063	0.0142	-0.0016	South America	Global
NIC984	-0.0111	0.0058	0.0129	-0.0015	South America	Global
NIC985	-0.0112	0.0058	0.013	-0.0014	South America	Global
PB800	0.0041	-0.0335	-0.083	-0.0155	North America	Mixed
PB857	0.0038	-0.0331	-0.0816	-0.0145	North America	Mixed
PE887	-0.0113	0.0061	0.0137	-0.0017	Europe	Global
QG1005	-0.0115	0.0063	0.0145	-0.0018	Central America	Global
QG1007	-0.0116	0.0065	0.0149	-0.0019	Central America	Global
QG1111	-0.0114	0.0064	0.0143	-0.0018	Central America	Global
QG1126	-0.0116	0.0065	0.0149	-0.0019	Central America	Global
QG1141	-0.0114	0.0062	0.0141	-0.0017	Central America	Global
QG1155	-0.0115	0.0064	0.0144	-0.0018	Central America	Global
QG130	-0.0111	0.0057	0.0129	-0.0016	Hawaii	Global
QG132	-0.0112	0.0058	0.0129	-0.0014	Hawaii	Global
QG133	-0.0084	0.001	0.0016	7e-04	Hawaii	Global
QG2641	-0.0114	0.0065	0.0146	-0.0019	Central America	Global
QG2648	-0.0116	0.0066	0.015	-0.0019	Central America	Global
QG2659	-0.0113	0.0062	0.0142	-0.0019	Central America	Global
QG2663	-0.0115	0.0064	0.0144	-0.002	Central America	Global
QG2665	-0.0115	0.0066	0.0148	-0.002	Central America	Global
QG2683	-0.0115	0.0064	0.0145	-0.0018	Central America	Global
QG2736	-0.0116	0.0065	0.0149	-0.0019	Central America	Global
QG2814	-0.0109	0.0055	0.0122	-0.0015	Australia	Global
QG2820	-0.0113	0.0059	0.0134	-0.0016	Australia	Global
QG2848	-0.011	0.0058	0.0128	-0.0014	Australia	Global
QG2849	-0.011	0.0058	0.0128	-0.0015	Cosmopolitan	Global
QG2880	-0.0113	0.0062	0.0144	-0.002	Australia	Global
QG2881	-0.011	0.0057	0.0128	-0.0015	Australia	Global
QG2883	-0.011	0.0057	0.0129	-0.0015	Australia	Global
QG2884	-0.0114	0.006	0.0145	-0.0021	Australia	Global
QG2891	0.1497	0.08	-0.0164	0.0012	Australia	Australia
QG2892	-0.0112	0.006	0.0146	-0.0021	Australia	Global
QG2893	0.1477	0.0496	-0.0103	-0.0033	Australia	Australia
QG2895	-0.011	0.0054	0.0138	-0.0019	Australia	Global
QG2902	-0.0111	0.006	0.0146	-0.0021	Australia	Global
QG2903	-0.0112	0.0061	0.0146	-0.0022	Australia	Global
QG2906	-0.011	0.0054	0.0138	-0.0019	Australia	Global
QG2908	0.1467	0.0487	-0.01	-0.0031	Australia	Australia
QG2910	-0.0112	0.0057	0.0128	-0.0015	Australia	Global
QG2919	0.149	0.0761	-0.0153	6e-04	Australia	Australia
QG2923	-0.0114	0.0061	0.0147	-0.002	Australia	Global
QG2925	-0.0111	0.0059	0.0142	-0.0021	Australia	Global
QG2964	-0.0116	0.0064	0.0147	-0.0018	Central America	Global
QG2966	-0.0112	0.006	0.0133	-0.0016	Central America	Global
QG2969	-0.0115	0.0064	0.0147	-0.0018	Central America	Global
QG2972	-0.0117	0.0066	0.0149	-0.0018	Central America	Global
QG2996	-0.0116	0.0066	0.015	-0.0019	Central America	Global
QG3004	-0.0113	0.0061	0.014	-0.0021	Central America	Global
QG3006	-0.0117	0.0066	0.015	-0.0019	Central America	Global
QG3019	-0.0114	0.0062	0.014	-0.0019	Central America	Global
QG3025	-0.0117	0.0066	0.015	-0.0019	Central America	Global
QG3030	-0.0115	0.0066	0.0149	-0.0018	Central America	Global
QG3032	-0.0116	0.0065	0.0146	-0.0018	Central America	Global
QG3034	-0.0115	0.0066	0.0149	-0.0019	Central America	Global
QG3041	-0.0115	0.0064	0.0148	-0.0019	Central America	Global
QG3053	-0.0112	0.0058	0.0129	-0.0015	Central America	Global
QG3056	-0.0112	0.0059	0.0132	-0.0017	Central America	Global
QG3057	-0.0117	0.0067	0.0154	-0.0019	Central America	Global
QG3058	-0.0116	0.0065	0.015	-0.0019	Central America	Global
QG3527	-0.0112	0.006	0.0135	-0.0017	Central America	Global
QG3661	0.0039	-0.0334	-0.0821	-0.0146	North America	Mixed
QG3783	-0.0113	0.006	0.0135	-0.0016	Central America	Global
QG3801	-0.0115	0.0065	0.0146	-0.0021	Central America	Global
QG3815	-0.0112	0.006	0.0135	-0.0018	Central America	Global
QG3816	-0.0112	0.006	0.0133	-0.0018	Central America	Global
QG3823	-0.0116	0.0065	0.0148	-0.002	Central America	Global
QG3825	-0.0111	0.0059	0.0131	-0.0017	Central America	Global
QG3826	-0.0113	0.006	0.0135	-0.0016	Central America	Global
QG3837	-0.0113	0.0061	0.0136	-0.0016	Central America	Global
QG3851	-0.0113	0.006	0.0134	-0.0016	Central America	Global
QG3861	-0.0113	0.0061	0.0137	-0.0017	Central America	Global
QG3867	-0.0116	0.0065	0.015	-0.0023	Central America	Global
QG3874	-0.011	0.0058	0.0129	-0.0016	Central America	Global
QG3875	-0.0111	0.0059	0.0134	-0.0016	Central America	Global
QG3876	-0.0113	0.006	0.0134	-0.0015	Central America	Global
QG3878	-0.0111	0.006	0.0135	-0.0016	Central America	Global
QG3920	-0.0109	0.0056	0.0127	-0.0019	Caribbean	Global
QG3921	-0.011	0.0058	0.013	-0.0019	Caribbean	Global
QG3923	-0.0113	0.006	0.0136	-0.0016	Caribbean	Global
QG3924	-0.0113	0.0062	0.0138	-0.0018	Caribbean	Global
QG3925	-0.011	0.0058	0.0129	-0.0015	Caribbean	Global
QG3926	-0.0111	0.0058	0.013	-0.0015	Caribbean	Global
QG3927	-0.0109	0.0056	0.013	-0.0015	Caribbean	Global
QG3931	-0.0111	0.0059	0.0132	-0.0015	Caribbean	Global
QG3932	-0.0112	0.0058	0.0131	-0.0015	Caribbean	Global
QG3933	-0.0114	0.0062	0.0138	-0.0017	Caribbean	Global
QG4026	0.1527	0.0821	-0.0165	0.0012	Australia	Australia
QG4028	0.152	0.0815	-0.0165	0.0013	Australia	Australia
QG4031	0.1528	0.0822	-0.0165	0.0012	Australia	Australia
QG4063	0.1525	0.0841	-0.0174	0.0016	Australia	Australia
QG4064	0.1543	0.0865	-0.0179	0.0016	Australia	Australia
QG4067	0.1538	0.086	-0.0177	0.0015	Australia	Australia
QG4068	0.1538	0.0859	-0.0177	0.0015	Australia	Australia
QG4070	-0.0111	0.0059	0.0132	-0.0016	Australia	Global
QG4093	0.1463	0.0671	-0.013	6e-04	Australia	Australia
QG4094	0.1519	0.0789	-0.016	0.0014	Australia	Australia
QG4095	0.1535	0.0853	-0.0175	0.0015	Australia	Australia
QG4096	0.1534	0.0855	-0.0177	0.0016	Australia	Australia
QG4097	0.1537	0.0858	-0.0178	0.0015	Australia	Australia
QG4104	0.1546	0.0867	-0.018	0.0016	Australia	Australia
QG4114	0.1547	0.0872	-0.018	0.0017	Australia	Australia
QG4131	0.1536	0.0856	-0.0177	0.0015	Australia	Australia
QG4132	0.1528	0.0848	-0.0175	0.0016	Australia	Australia
QG4208	0.1455	0.0634	-0.0121	6e-04	Australia	Australia
QG4214	0.1544	0.0867	-0.018	0.0016	Australia	Australia
QG4225	0.1543	0.0865	-0.0178	0.0016	Australia	Australia
QG4232	0.1506	0.0762	-0.0151	0.0011	Australia	Australia
QG4233	0.1522	0.0807	-0.0164	0.0012	Australia	Australia
QG4647	-0.0116	0.0064	0.0149	-0.0023	Pacific	Global
QG4648	-0.0109	0.0062	0.0131	-0.0018	Pacific	Global
QG4683	-0.0107	0.0061	0.0131	-0.0019	Pacific	Global
QG4701	-0.0109	0.0063	0.0136	-0.0024	Pacific	Global
QG4706	-0.0106	0.006	0.0126	-0.0018	Pacific	Global
QG4718	-0.0108	0.0062	0.013	-0.0019	Pacific	Global
QG4742	-0.0111	0.0061	0.0135	-0.0016	Pacific	Global
QG4805	-0.0113	0.0067	0.0148	-0.0025	Pacific	Global
QG4847	-0.0109	0.0056	0.0124	-0.0014	Pacific	Global
QG4966	-0.0109	0.0062	0.0131	-0.0019	Pacific	Global
QG5348	-0.0105	0.0058	0.0122	-0.0018	Pacific	Global
QG5406	-0.0107	0.006	0.0128	-0.0018	Pacific	Global
QG547	0.0039	-0.0335	-0.0821	-0.0152	North America	Mixed
QG5474	-0.0112	0.0063	0.0138	-0.0022	Pacific	Global
QG5488	-0.0108	0.006	0.0125	-0.0017	Pacific	Global
QG550	-0.0112	0.0059	0.0131	-0.0019	Pacific	Global
QG5507	-0.0106	0.0059	0.0125	-0.0022	Pacific	Global
QG5525	-0.0108	0.0063	0.0132	-0.0019	Pacific	Global
QG5589	-0.0113	0.0066	0.0145	-0.0022	Pacific	Global
QG5603	-0.0114	0.0061	0.014	-0.002	Pacific	Global
QG5611	-0.0108	0.0063	0.0132	-0.0017	Pacific	Global
QG5612	-0.0108	0.006	0.0127	-0.0017	Pacific	Global
QG5633	-0.0109	0.0062	0.0132	-0.0018	Pacific	Global
QG581	0.0039	-0.0336	-0.0826	-0.0151	North America	Mixed
QG588	0.0037	-0.0328	-0.081	-0.0145	North America	Mixed
QG700	-0.0114	0.0064	0.0142	-0.0017	Central America	Global
QG727	-0.0112	0.006	0.0139	-0.0016	Central America	Global
QG733	-0.0115	0.0064	0.0144	-0.0017	Central America	Global
QG736	-0.0115	0.0064	0.0148	-0.0019	Central America	Global
QG737	-0.0116	0.0064	0.0146	-0.0017	Central America	Global
QG739	-0.0115	0.0064	0.0145	-0.0018	Central America	Global
QG761	-0.0114	0.0064	0.0144	-0.0017	Central America	Global
QG763	-0.0116	0.0064	0.0146	-0.0019	Central America	Global
QG776	-0.0115	0.0063	0.0143	-0.0019	Central America	Global
QG781	-0.0115	0.0063	0.0143	-0.0016	Central America	Global
QG784	-0.0114	0.0063	0.0145	-0.002	Central America	Global
QG786	-0.0116	0.0065	0.0147	-0.0018	Central America	Global
QG788	-0.0114	0.0063	0.0141	-0.0018	Central America	Global
QG790	-0.0116	0.0066	0.015	-0.0019	Central America	Global
QG791	-0.0112	0.0059	0.0135	-0.0016	Central America	Global
QG795	-0.0114	0.0063	0.0141	-0.0017	Central America	Global
QG797	-0.0117	0.0066	0.0149	-0.0019	Central America	Global
QG802	-0.0115	0.0064	0.0144	-0.0017	Central America	Global
QG804	-0.0116	0.0065	0.0148	-0.0019	Central America	Global
QG806	-0.0114	0.0064	0.0144	-0.0018	Central America	Global
QG807	-0.0114	0.0063	0.0142	-0.0017	Central America	Global
QG808	-0.0114	0.0062	0.0141	-0.0017	Central America	Global
QG809	-0.0115	0.0065	0.0146	-0.002	Central America	Global
QG825	-0.0114	0.0062	0.0143	-0.0016	Central America	Global
QG827	-0.0113	0.0063	0.0141	-0.0017	Central America	Global
QG828	-0.0115	0.0064	0.0145	-0.0017	Central America	Global
QG833	-0.0114	0.0061	0.0138	-0.0016	Central America	Global
QG855	-0.0112	0.0061	0.0137	-0.0017	Central America	Global
QG856	-0.0114	0.0063	0.0141	-0.0018	Central America	Global
QG858	-0.0116	0.0065	0.0148	-0.0022	Central America	Global
QG860	-0.0112	0.0061	0.0139	-0.0017	Central America	Global
QG864	-0.0114	0.0064	0.0143	-0.0019	Central America	Global
QG865	-0.0113	0.0063	0.0141	-0.0019	Central America	Global
QG866	-0.0114	0.0063	0.0142	-0.0016	Central America	Global
QG868	-0.0114	0.0062	0.014	-0.0017	Central America	Global
QG874	-0.0114	0.0064	0.0145	-0.0017	Central America	Global
QG875	-0.0115	0.0066	0.0148	-0.002	Central America	Global
QG878	-0.0114	0.0063	0.0142	-0.0018	Central America	Global
QG879	-0.0114	0.0062	0.0141	-0.0017	Central America	Global
QG880	-0.0115	0.0064	0.0148	-0.0019	Central America	Global
QG881	-0.0113	0.0063	0.0142	-0.0016	Central America	Global
QG887	-0.0114	0.0063	0.0141	-0.0017	Central America	Global
QG888	-0.0115	0.0067	0.0148	-0.0018	Central America	Global
QG926	-0.0113	0.0063	0.014	-0.0017	Central America	Global
QG927	-0.0113	0.006	0.0134	-0.0015	Central America	Global
QG933	-0.0117	0.0066	0.0151	-0.0019	Central America	Global
QG937	-0.0115	0.0065	0.0148	-0.0019	Central America	Global
QG945	-0.0117	0.0066	0.015	-0.0019	Central America	Global
QG946	-0.0116	0.0066	0.015	-0.0019	Central America	Global
QG947	-0.0114	0.0061	0.0143	-0.0017	Central America	Global
QG948	-0.0115	0.0065	0.0146	-0.0018	Central America	Global
QG952	-0.0114	0.0064	0.0144	-0.0018	Central America	Global
QG978	-0.0113	0.0063	0.0141	-0.0018	Central America	Global
QG980	-0.0113	0.0063	0.0141	-0.0018	Central America	Global
QG986	-0.0116	0.0063	0.0143	-0.0018	Central America	Global
QG991	-0.0115	0.0064	0.0144	-0.0017	Central America	Global
QG994	-0.0115	0.0067	0.0148	-0.0018	Central America	Global
QG995	-0.0115	0.0063	0.0142	-0.002	Central America	Global
QG997	-0.0113	0.0062	0.0139	-0.0019	Central America	Global
QG998	-0.0116	0.0066	0.015	-0.0019	Central America	Global
QR25	0.0077	-0.0303	-0.0672	-0.0142	Cosmopolitan	Mixed
QX1410	-0.0113	0.0057	0.0137	-0.0017	Caribbean	Global
QX1547	0.0039	-0.0333	-0.0829	-0.015	North America	Mixed
QX1795	-0.011	0.0057	0.0128	-0.0014	Hawaii	Global
QX1796	-0.0108	0.0055	0.0121	-0.0015	Hawaii	Global
QX1798	-0.0084	6e-04	8e-04	8e-04	Hawaii	Global
QX1800	-0.011	0.0056	0.0125	-0.0015	Hawaii	Global
QX1801	-0.0107	0.0054	0.0121	-0.0016	Hawaii	Global
QX1802	-0.011	0.0056	0.0125	-0.0015	Hawaii	Global
QX1803	-0.011	0.0057	0.0127	-0.0014	Hawaii	Global
QX1804	-0.0109	0.0055	0.0122	-0.0014	Hawaii	Global
SOW18	0.0036	-0.0332	-0.082	-0.0144	North America	Mixed
SOW21	0.0035	-0.0324	-0.0805	-0.0143	North America	Mixed
SOW22	0.0036	-0.033	-0.0822	-0.0144	North America	Mixed
TT3408	-0.0112	0.0058	0.0128	-0.0014	Asia	Global
TT3411	-0.0112	0.0058	0.0128	-0.0015	Asia	Global
TWN1772	-0.0085	3e-04	0	9e-04	Taiwan	Global
TWN1824	-0.0022	-0.0452	-0.1166	0.1082	Taiwan	Taiwan
TWN1899	-0.0023	-0.0458	-0.118	0.1104	Taiwan	Taiwan
TWN1907	-0.0085	4e-04	8e-04	9e-04	Taiwan	Global
TWN2919	-0.0085	5e-04	2e-04	0.001	Taiwan	Global
TWN3077	-0.0084	6e-04	4e-04	8e-04	Taiwan	Global
UH1	-0.0083	6e-04	8e-04	8e-04	Hawaii	Global
VSL2201	-0.0105	0.0055	0.0125	-0.0018	Asia	Global
VSL2207	0.1393	-0.259	0.1219	0.0043	Asia	India
VSL2209	0.1384	-0.2583	0.1218	0.0044	Asia	India
VSL2210	-0.011	0.0057	0.0128	-0.0016	Asia	Global
VSL2212	-0.0109	0.0056	0.0126	-0.0015	Asia	Global
VSL2213	-0.0104	0.0054	0.0119	-0.0016	Asia	Global
VSL2215	-0.0108	0.0058	0.0128	-0.002	Asia	Global
VSL2216	-0.0105	0.0056	0.0124	-0.0016	Asia	Global
VSL2217	-0.0113	0.0057	0.0134	-0.0023	Asia	Global
VSL2219	-0.011	0.0058	0.013	-0.0017	Asia	Global
VT847	-0.011	0.0057	0.0128	-0.0016	Hawaii	Global
VX34	0.0064	-0.0348	-0.0785	-0.0116	Asia	Mixed
XZ1204	-0.011	0.0057	0.0127	-0.0015	South America	Global
XZ1205	-0.0111	0.0057	0.0124	-0.0015	South America	Global
XZ1206	-0.0111	0.0056	0.0124	-0.0015	South America	Global
XZ1207	-0.0112	0.0058	0.013	-0.0016	South America	Global
XZ1210	-0.011	0.0057	0.0129	-0.0016	South America	Global
XZ1212	-0.0111	0.0058	0.0129	-0.0016	South America	Global
XZ1213	-0.0111	0.0059	0.0132	-0.0016	South America	Global
XZ1731	-0.011	0.0058	0.0131	-0.0015	South America	Global
XZ1732	-0.011	0.0057	0.013	-0.0016	South America	Global
ZZY0992	-0.0112	0.0058	0.0137	-0.0023	Asia	Global
ZZY1034	-0.0111	0.0058	0.0129	-0.0015	Asia	Global
ZZY1075	-0.0111	0.0058	0.0129	-0.0014	Asia	Global
ZZY1123	-0.0107	0.0054	0.0134	-0.0023	Asia	Global
ZZY1130	-0.011	0.0058	0.0128	-0.0015	Asia	Global
ZZY405	-0.011	0.0056	0.0126	-0.0016	Asia	Global
