"isotype","PC1","PC2","PC3","PC4","PC5","PC6","lat","long","geo","Cluster"
"ECA2617",0.1522,0.0818,-0.0167,0.0011,-0.005,0,-26.26214444,152.8295528,"Australia","Australia"
"ECA2618",0.1521,0.0817,-0.0168,0.0011,-0.0048,-1e-04,-26.2619772,152.8296094,"Australia","Australia"
"ECA2621",0.1521,0.0818,-0.0169,9e-04,-0.0048,-1e-04,-26.6275648,152.8409822,"Australia","Australia"
"ECA2639",0.1528,0.0823,-0.0167,0.0012,-0.005,0,-26.26204861,152.8294249,"Australia","Australia"
"ECA2647",0.1532,0.085,-0.0176,0.0016,-0.005,0,-21.1683872,148.5075834,"Australia","Australia"
"ECA2666",0.1528,0.0846,-0.0176,0.0016,-0.005,2e-04,-21.16771623,148.504728,"Australia","Australia"
"ECA2670",0.1512,0.0807,-0.0165,0.0011,-0.0046,4e-04,-26.3588565,152.6355008,"Australia","Australia"
"QG2891",0.1497,0.08,-0.0164,0.0012,-0.0048,1e-04,-16.1026,145.4467333,"Australia","Australia"
"QG2893",0.1477,0.0496,-0.0103,-0.0033,-0.0062,0.0035,-16.1026,145.4467333,"Australia","Australia"
"QG2908",0.1467,0.0487,-0.01,-0.0031,-0.0055,0.003,-17.2643833,145.4884833,"Australia","Australia"
"QG2919",0.149,0.0761,-0.0153,6e-04,-0.0048,2e-04,-20.28785,148.7653,"Australia","Australia"
"QG4026",0.1527,0.0821,-0.0165,0.0012,-0.005,0,-26.26193056,152.8296722,"Australia","Australia"
"QG4028",0.152,0.0815,-0.0165,0.0013,-0.005,0,-26.26193056,152.8296722,"Australia","Australia"
"QG4031",0.1528,0.0822,-0.0165,0.0012,-0.005,0,-26.26193056,152.8296722,"Australia","Australia"
"QG4063",0.1525,0.0841,-0.0174,0.0016,-0.0049,0,-21.1461744,148.4998921,"Australia","Australia"
"QG4064",0.1543,0.0865,-0.0179,0.0016,-0.005,0,-21.1453727,148.4997337,"Australia","Australia"
"QG4067",0.1538,0.086,-0.0177,0.0015,-0.005,0,-21.1453727,148.4997337,"Australia","Australia"
"QG4068",0.1538,0.0859,-0.0177,0.0015,-0.005,0,-21.1453727,148.4997337,"Australia","Australia"
"QG4093",0.1463,0.0671,-0.013,6e-04,-0.0047,5e-04,-21.16862222,148.5080167,"Australia","Australia"
"QG4094",0.1519,0.0789,-0.016,0.0014,-0.0052,2e-04,-21.16862222,148.5080167,"Australia","Australia"
"QG4095",0.1535,0.0853,-0.0175,0.0015,-0.0051,1e-04,-21.16862222,148.5080167,"Australia","Australia"
"QG4096",0.1534,0.0855,-0.0177,0.0016,-0.0049,0,-21.16879444,148.506575,"Australia","Australia"
"QG4097",0.1537,0.0858,-0.0178,0.0015,-0.005,3e-04,-21.16879444,148.506575,"Australia","Australia"
"QG4104",0.1546,0.0867,-0.018,0.0016,-0.005,0,-21.14488889,148.498225,"Australia","Australia"
"QG4114",0.1547,0.0872,-0.018,0.0017,-0.0052,0,-21.144475,148.4999222,"Australia","Australia"
"QG4131",0.1536,0.0856,-0.0177,0.0015,-0.0049,3e-04,-21.17034722,148.5080417,"Australia","Australia"
"QG4132",0.1528,0.0848,-0.0175,0.0016,-0.005,0,-21.17034722,148.5080417,"Australia","Australia"
"QG4208",0.1455,0.0634,-0.0121,6e-04,-0.0044,5e-04,-21.1695006,148.5079426,"Australia","Australia"
"QG4214",0.1544,0.0867,-0.018,0.0016,-0.005,0,-21.1448256,148.4984929,"Australia","Australia"
"QG4225",0.1543,0.0865,-0.0178,0.0016,-0.0051,0,-21.14559444,148.4993528,"Australia","Australia"
"QG4232",0.1506,0.0762,-0.0151,0.0011,-0.0053,4e-04,-21.16862222,148.5080167,"Australia","Australia"
"QG4233",0.1522,0.0807,-0.0164,0.0012,-0.005,2e-04,-21.16862222,148.5080167,"Australia","Australia"
"JU1341",0.1334,-0.2253,0.1054,0.003,-0.0056,-0.0015,8.7633,77.114,"Asia","India"
"JU1348",0.1326,-0.2216,0.1038,0.0037,-0.0049,-0.001,9.55,77.2,"Asia","India"
"JU2801",0.1405,-0.266,0.1253,0.0045,-0.0066,-0.0014,45.53356,5.10234,"Cosmopolitan","India"
"JU3200",0.1387,-0.2588,0.1221,0.0044,-0.0068,-0.0013,13.0232,77.5668,"Asia","India"
"JU3201",0.1399,-0.2634,0.1242,0.0047,-0.0067,-0.0015,13.0222,77.5676,"Asia","India"
"JU3202",0.1395,-0.2636,0.1246,0.0048,-0.0064,-0.0013,13.02272,77.56866,"Asia","India"
"JU3203",0.1396,-0.2649,0.1254,0.005,-0.0066,-0.0013,13.0727,77.579,"Asia","India"
"JU3206",0.1389,-0.2607,0.1231,0.0045,-0.0066,-0.0016,13.07251,77.57924,"Asia","India"
"VSL2207",0.1393,-0.259,0.1219,0.0043,-0.0064,-0.0017,12.42865,75.7624,"Asia","India"
"VSL2209",0.1384,-0.2583,0.1218,0.0044,-0.0064,-0.0011,12.3692,75.9012,"Asia","India"
"BRC20115",-8e-04,-0.0387,-0.0947,-0.0035,0.0055,0.3736,24.114,120.8694,"Taiwan","Mixed"
"BRC20388",0.0036,-0.0329,-0.0815,-0.0144,0.1463,-0.0401,34,135,"Pacific","Mixed"
"BRC20492",-7e-04,-0.0387,-0.094,-0.003,0.0057,0.3783,21.958635,120.811847,"Taiwan","Mixed"
"BRC20502",0.0043,-0.0324,-0.0683,-0.0422,0.0039,0.0606,22.020651,121.572794,"Taiwan","Mixed"
"BRC20503",0.0044,-0.0322,-0.0685,-0.0426,0.0037,0.0607,22.020651,121.572794,"Taiwan","Mixed"
"BRC20519",-7e-04,-0.0377,-0.091,-0.0029,0.0062,0.3595,21.958778,120.811764,"Taiwan","Mixed"
"BRC20520",-6e-04,-0.0384,-0.0932,-0.0028,0.0061,0.3734,21.958778,120.811764,"Taiwan","Mixed"
"BRC20541",-6e-04,-0.0347,-0.0822,-0.0059,0.0027,0.3018,22.924056,120.543,"Taiwan","Mixed"
"BW287",0.0039,-0.0332,-0.0817,-0.0154,0.1454,-0.0387,NA,NA,"unknown","Mixed"
"ECA163",0.0104,-0.0432,-0.087,-0.0204,0.0579,0.0107,42.361025,-88.427841,"North America","Mixed"
"ECA276",0.0105,-0.0431,-0.0872,-0.0206,0.0576,0.0108,42.496411,-88.240099,"North America","Mixed"
"ECA278",0.0038,-0.0335,-0.083,-0.0151,0.1495,-0.0408,42.496411,-88.240099,"North America","Mixed"
"ECA569",0.0036,-0.0329,-0.0816,-0.0145,0.1463,-0.0401,42.361085,-88.4278679,"North America","Mixed"
"ED3102",0.0095,-0.0488,-0.0962,-0.0246,0.0609,0.0208,-1.316667,36.8,"Africa","Mixed"
"EG4360",0.0041,-0.0335,-0.0832,-0.0155,0.1497,-0.0409,40.6,-111.8,"North America","Mixed"
"GUN124",0.0036,-0.0329,-0.0817,-0.0145,0.1457,-0.0396,42.4675,-76.48722222,"North America","Mixed"
"HK104",0.0037,-0.0325,-0.0807,-0.0148,0.1407,-0.0375,34.66,133.9,"Pacific","Mixed"
"JU1257",0.0039,-0.034,-0.0835,-0.0152,0.1483,-0.0401,49.1255,1.951,"Cosmopolitan","Mixed"
"JU1564",0.0035,-0.0323,-0.0802,-0.0143,0.1438,-0.0394,40.86,-73.47,"North America","Mixed"
"JU2536",0.0036,-0.0333,-0.0827,-0.0145,0.1476,-0.0403,47.645976,19.274783,"Europe","Mixed"
"JU2767",0.01,-0.0508,-0.0998,-0.0281,0.0627,0.0188,48.50481,3.246,"Cosmopolitan","Mixed"
"JU2872",0.0036,-0.0335,-0.0831,-0.0148,0.1492,-0.0407,48.2121,16.3592,"Cosmopolitan","Mixed"
"JU3272",0.0036,-0.0331,-0.0821,-0.015,0.1472,-0.0401,50.34886,14.475,"Cosmopolitan","Mixed"
"JU3326",0.006,-0.0342,-0.0785,-0.0105,0.0574,0.006,31.23025,121.3955,"Asia","Mixed"
"JU3416",0.0044,-0.0332,-0.081,-0.0141,0.1396,-0.0357,38.2541,140.8508,"Cosmopolitan","Mixed"
"NIC1607",-6e-04,-0.039,-0.0954,-0.0036,0.0065,0.3759,22.0861,120.84222,"Taiwan","Mixed"
"NIC1632",0.0036,-0.0331,-0.0819,-0.0147,0.1473,-0.0404,34.88358,135.81659,"Pacific","Mixed"
"NIC1633",0.0036,-0.0332,-0.0823,-0.0146,0.1476,-0.0405,34.88358,135.81659,"Pacific","Mixed"
"NIC1635",0.0036,-0.0333,-0.0824,-0.0146,0.1476,-0.0403,34.88328,135.81733,"Pacific","Mixed"
"NIC174",0.0035,-0.0329,-0.0816,-0.0146,0.1468,-0.0402,47.1575,7.64673,"Cosmopolitan","Mixed"
"NIC819",-7e-04,-0.0357,-0.0847,-0.0046,0.0022,0.3139,23.81418,120.85581,"Taiwan","Mixed"
"NIC893",0.0041,-0.031,-0.0669,-0.0412,0.004,0.0635,22.00932,121.57214,"Taiwan","Mixed"
"NIC899",0.0036,-0.0334,-0.0826,-0.0145,0.148,-0.0407,35.661062,139.684827,"Pacific","Mixed"
"PB800",0.0041,-0.0335,-0.083,-0.0155,0.1494,-0.0409,39.823748,-84.289418,"North America","Mixed"
"PB857",0.0038,-0.0331,-0.0816,-0.0145,0.1461,-0.0395,39.784,84.0554,"Cosmopolitan","Mixed"
"QG3661",0.0039,-0.0334,-0.0821,-0.0146,0.1416,-0.037,41.62083,-73.58889,"North America","Mixed"
"QG547",0.0039,-0.0335,-0.0821,-0.0152,0.1472,-0.04,40.783,-73.985,"North America","Mixed"
"QG581",0.0039,-0.0336,-0.0826,-0.0151,0.1489,-0.0407,45.5423,-74.01235,"North America","Mixed"
"QG588",0.0037,-0.0328,-0.081,-0.0145,0.1455,-0.0398,41.52503056,-70.67271389,"North America","Mixed"
"QR25",0.0077,-0.0303,-0.0672,-0.0142,0.0511,-0.0041,45.545448,-73.639076,"Cosmopolitan","Mixed"
"QX1547",0.0039,-0.0333,-0.0829,-0.015,0.1496,-0.0409,35.931125,-84.931125,"North America","Mixed"
"SOW18",0.0036,-0.0332,-0.082,-0.0144,0.1456,-0.0398,39.960663,-75.605492,"North America","Mixed"
"SOW21",0.0035,-0.0324,-0.0805,-0.0143,0.1445,-0.0396,41.41123603,-78.70870679,"North America","Mixed"
"SOW22",0.0036,-0.033,-0.0822,-0.0144,0.1474,-0.0401,40.006496,-75.703278,"North America","Mixed"
"VX34",0.0064,-0.0348,-0.0785,-0.0116,0.0572,0.0042,31.750834,113.98333,"Asia","Mixed"
"BRC20075",-0.0023,-0.0462,-0.1194,0.1111,-0.0961,-0.042,24.790015,121.374604,"Taiwan","Taiwan"
"BRC20229",-0.0021,-0.0443,-0.1136,0.1053,-0.0896,-0.0386,23.572084,120.900213,"Taiwan","Taiwan"
"BRC20232",-0.0021,-0.044,-0.1136,0.1053,-0.0899,-0.0378,23.60247,120.8838617,"Taiwan","Taiwan"
"BRC20239",-0.0019,-0.0452,-0.1157,0.1066,-0.0924,-0.0394,23.60095833,120.8821883,"Taiwan","Taiwan"
"BRC20324",-0.0057,-0.026,-0.0676,0.0682,-0.0607,-0.0271,24.03965278,121.155,"Taiwan","Taiwan"
"BRC20343",-0.0021,-0.0428,-0.1099,0.0991,-0.0843,-0.037,24,121,"Taiwan","Taiwan"
"BRC20347",-0.0021,-0.0445,-0.1134,0.1057,-0.0908,-0.0399,25.121206,121.593578,"Taiwan","Taiwan"
"BRC20522",-0.002,-0.0434,-0.1107,0.0996,-0.0852,-0.0364,25.1839015,121.5206295,"Taiwan","Taiwan"
"BRC20524",-0.0018,-0.0433,-0.1104,0.0997,-0.0852,-0.037,25.1839015,121.5206295,"Taiwan","Taiwan"
"BRC20530",-0.0019,-0.0449,-0.1155,0.107,-0.092,-0.0399,23.33725,120.712389,"Taiwan","Taiwan"
"BRC20531",-0.0021,-0.0441,-0.1128,0.1048,-0.0903,-0.0396,23.792667,120.798083,"Taiwan","Taiwan"
"NIC1540",-0.0019,-0.0424,-0.109,0.097,-0.083,-0.0361,25.05792,121.77076,"Taiwan","Taiwan"
"NIC1589",-0.0022,-0.0457,-0.1174,0.1097,-0.0943,-0.0418,24.68622,121.13734,"Taiwan","Taiwan"
"NIC1591",-0.0022,-0.0445,-0.1131,0.1051,-0.0904,-0.0394,24.68622,121.13734,"Taiwan","Taiwan"
"NIC1593",-0.0022,-0.0457,-0.1178,0.1098,-0.0949,-0.0416,24.68622,121.13734,"Taiwan","Taiwan"
"NIC1664",-0.002,-0.0445,-0.1132,0.1053,-0.0901,-0.0399,23.66109,120.7967,"Taiwan","Taiwan"
"NIC1665",-0.0019,-0.0445,-0.1141,0.1059,-0.0905,-0.04,23.66654,120.79295,"Taiwan","Taiwan"
"NIC19",-0.0017,-0.0421,-0.1067,0.0981,-0.0837,-0.0374,25.15219,121.54461,"Taiwan","Taiwan"
"NIC20",-0.0019,-0.0448,-0.1153,0.107,-0.092,-0.0405,24.47058,120.97781,"Taiwan","Taiwan"
"NIC21",-0.002,-0.0456,-0.1171,0.1087,-0.0936,-0.0413,24.47605,120.99481,"Taiwan","Taiwan"
"NIC22",-0.0023,-0.0457,-0.1179,0.1095,-0.0952,-0.0412,24.19177,121.01531,"Taiwan","Taiwan"
"NIC816",-0.002,-0.045,-0.1155,0.1075,-0.0933,-0.0398,23.81417,120.856,"Taiwan","Taiwan"
"NIC825",-0.0017,-0.0448,-0.1133,0.1052,-0.0912,-0.0388,23.60246,120.88278,"Taiwan","Taiwan"
"NIC827",-0.0019,-0.0433,-0.1115,0.1025,-0.0876,-0.0379,23.60233,120.88182,"Taiwan","Taiwan"
"NIC828",-0.0019,-0.0451,-0.1152,0.1067,-0.0928,-0.0402,23.60197,120.88157,"Taiwan","Taiwan"
"TWN1824",-0.0022,-0.0452,-0.1166,0.1082,-0.0923,-0.0395,24.69027778,121.4055556,"Taiwan","Taiwan"
"TWN1899",-0.0023,-0.0458,-0.118,0.1104,-0.0953,-0.0417,25.16666667,121.5166667,"Taiwan","Taiwan"
"HPT11",0.0073,-0.0818,-0.1938,-0.5026,-0.2333,-0.081,-7.8,112.516,"Pacific","Indonesia"
"HPT18",0.0075,-0.0754,-0.1801,-0.4607,-0.2141,-0.0739,-7.8234117,112.5873372,"Pacific","Indonesia"
"HPT24",0.0069,-0.0772,-0.184,-0.4745,-0.2209,-0.0758,-8.531795,116.239193,"Pacific","Indonesia"
